id;unit_price;max_discount_pct;valid_from;valid_to;is_active;created_at;product_id;client_id
1;38897;94;2026-03-09T10:47:34;2026-03-09T00:29:15;true;2026-03-09T08:33:15;1;1
2;16517;56;2026-03-08T22:05:00;2026-03-08T16:40:41;false;2026-03-08T21:03:55;2;2
3;25619;21;2026-03-08T20:54:59;2026-03-09T03:36:30;false;2026-03-08T21:09:01;3;3
4;67961;27;2026-03-09T12:16:08;2026-03-09T01:35:08;true;2026-03-09T11:10:17;4;4
5;25892;69;2026-03-09T10:22:25;2026-03-08T19:28:32;false;2026-03-09T05:12:50;5;5
6;41124;70;2026-03-09T14:43:36;2026-03-09T10:36:20;true;2026-03-09T00:15:29;6;6
7;58379;82;2026-03-09T03:09:37;2026-03-08T23:11:30;false;2026-03-09T00:44:27;7;7
8;71456;45;2026-03-09T08:06:04;2026-03-08T23:29:55;false;2026-03-09T13:32:11;8;8
9;4338;8;2026-03-09T11:34:51;2026-03-09T00:40:19;true;2026-03-09T11:27:16;9;9
10;50505;45;2026-03-09T08:45:55;2026-03-09T08:46:14;true;2026-03-09T12:29:30;10;10
